# Benchmark molecule size series.  Columns: name  xyz_relpath  natoms  tags
# tags = comma-separated method keys this molecule is intended for:
#   rihf rimp2 dlpno_ccsd dlpno_ccsd_t dlpno_steom
# (size-appropriate; edit freely. run_gansu.sh processes in this order = increasing size.)
# NOTE: dlpno_ccsd_t (perturbative triples) is O(N^7) — much steeper than CCSD, so its
# size ceiling is reached earlier; the runner stops at the first OOM/timeout per method.
Naphthalene	../xyz/Naphthalene.xyz	18	rihf,rimp2,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
Anthracene	../xyz/Anthracene.xyz	24	rihf,rimp2,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
Tetracene	../xyz/Tetracene.xyz	30	rihf,rimp2,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
Pentacene	../xyz/Pentacene.xyz	36	rihf,rimp2,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
PTCDA	../xyz/large_molecular/PTCDA.xyz	38	rihf,rimp2,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
Phthalocyanine	../xyz/large_molecular/Phthalocyanine.xyz	58	rihf,rimp2,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
Decacene	../xyz/large_molecular/Decacene.xyz	66	rihf,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
Dicoronylene	../xyz/large_molecular/Dicoronylene.xyz	68	rihf,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
Kekulene	../xyz/large_molecular/Kekulene.xyz	72	rihf,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
Cholesterol	../xyz/large_molecular/Cholesterol.xyz	74	rihf,dlpno_ccsd,dlpno_ccsd_t
Dodecacene	../xyz/large_molecular/Dodecacene.xyz	78	rihf,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
C90	../xyz/large_molecular/C90.xyz	90	rihf,dlpno_ccsd,dlpno_ccsd_t
Beta-Carotene	../xyz/large_molecular/Beta-Carotene.xyz	96	rihf,dlpno_ccsd,dlpno_ccsd_t
paclitaxel	../xyz/large_molecular/paclitaxel.xyz	113	rihf,dlpno_ccsd
Sirolimus	../xyz/large_molecular/Sirolimus.xyz	144	rihf,dlpno_ccsd
ubiquinone10	../xyz/large_molecular/ubiquinone10.xyz	153	rihf,dlpno_ccsd
C240	../xyz/larger_molecular/C240.xyz	240	rihf
C320	../xyz/larger_molecular/C320.xyz	320	rihf
C540	../xyz/larger_molecular/C540.xyz	540	rihf
C720	../xyz/larger_molecular/C720.xyz	720	rihf
